Ticker,Reality_Final_Cash,Market_Final_Cash,Net_Profit_After_Tax,Friction_Loss_$,Win_Rate
V,56269.9,187628.76,-44851.35,9004.15,25.0
GOOGL,155435.85,382035.19,55435.85,35084.99,47.62
UNH,66678.91,101073.59,-33321.09,11926.02,30.43
MSFT,122416.98,235842.67,22416.98,23767.82,43.48
AMZN,80701.49,152302.35,-19298.51,13224.2,34.62
JPM,145688.71,315182.27,41642.79,25685.22,52.38
MA,54844.5,195114.91,-46279.18,8485.17,34.48
META,123166.06,250637.03,23166.06,32356.9,38.46
AAPL,139755.59,246613.53,39755.59,25963.64,56.52
NVDA,376464.33,1453281.69,276821.96,130340.25,47.83
